fips_code,name,reporting_entity_name,year,month,residential_rate,residential_rate_subsidized,commercial_rate,industrial_rate,transportation_rate,community_rate,other_rate,total_rate,source
0227530,Galena,City of Galena,2018,6,0.67,0.48,,,,,,,PCE
0227530,Galena,City of Galena,2018,7,0.60,0.41,,,,,,,PCE
0227530,Galena,City of Galena,2018,8,0.60,0.41,,,,,,,PCE
0227530,Galena,City of Galena,2018,9,0.60,0.41,,,,,,,PCE
0227530,Galena,City of Galena,2018,10,0.60,0.41,,,,,,,PCE
0227530,Galena,City of Galena,2018,11,0.60,0.41,,,,,,,PCE
0227530,Galena,City of Galena,2018,12,0.60,0.41,,,,,,,PCE
0227530,Galena,City of Galena,2019,1,0.60,0.36,,,,,,,PCE
0227530,Galena,City of Galena,2019,2,0.60,0.36,,,,,,,PCE
0227530,Galena,City of Galena,2019,3,0.60,0.36,,,,,,,PCE
0227530,Galena,City of Galena,2019,4,0.60,0.36,,,,,,,PCE
0227530,Galena,City of Galena,2019,5,0.60,0.36,,,,,,,PCE
0227530,Galena,City of Galena,2019,6,0.60,0.36,,,,,,,PCE
0227530,Galena,City of Galena,2019,7,0.60,0.41,,,,,,,PCE
0227530,Galena,City of Galena,2019,8,0.60,0.41,,,,,,,PCE
0227530,Galena,City of Galena,2019,9,0.60,0.41,,,,,,,PCE
0227530,Galena,City of Galena,2019,10,0.60,0.36,,,,,,,PCE
0227530,Galena,City of Galena,2019,11,0.60,0.37,,,,,,,PCE
0227530,Galena,City of Galena,2019,12,0.60,0.37,,,,,,,PCE
0227530,Galena,City of Galena,2020,1,0.60,0.37,,,,,,,PCE
0227530,Galena,City of Galena,2020,2,0.60,0.37,,,,,,,PCE
0227530,Galena,City of Galena,2020,3,0.60,0.37,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2002,6,0.36,0.21,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2002,7,0.36,0.21,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2002,8,0.36,0.21,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2002,9,0.36,0.21,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2002,10,0.36,0.21,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2002,11,0.36,0.21,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2002,12,0.36,0.21,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2003,1,0.36,0.21,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2003,2,0.36,0.21,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2003,3,0.36,0.21,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2003,4,0.36,0.21,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2003,5,0.36,0.21,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2003,6,0.42,0.20,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2003,7,0.42,0.20,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2003,8,0.42,0.20,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2003,9,0.42,0.20,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2003,10,0.42,0.22,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2003,11,0.42,0.22,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2003,12,0.42,0.22,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2004,1,0.42,0.22,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2004,2,0.42,0.22,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2004,3,0.42,0.22,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2004,4,0.42,0.24,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2004,5,0.42,0.24,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2004,6,0.42,0.27,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2004,7,0.42,0.22,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2004,8,0.42,0.22,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2004,9,0.42,0.24,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2004,10,0.42,0.24,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2004,11,0.43,0.25,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2004,12,0.43,0.25,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2005,1,0.43,0.25,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2005,2,0.43,0.28,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2005,3,0.43,0.28,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2005,4,0.43,0.28,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2005,5,0.43,0.28,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2005,6,0.43,0.28,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2005,7,0.43,0.24,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2005,8,0.43,0.24,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2005,9,0.43,0.24,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2005,10,0.43,0.24,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2005,11,0.43,0.25,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2005,12,0.48,0.26,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2006,1,0.48,0.26,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2006,2,0.48,0.26,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2006,3,0.48,0.29,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2006,4,0.48,0.20,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2006,5,0.48,0.20,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2006,6,0.48,0.20,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2006,7,0.48,0.20,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2006,8,0.48,0.20,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2006,9,0.48,0.20,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2006,10,0.48,0.20,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2006,11,0.48,0.20,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2006,12,0.48,0.20,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2007,1,0.48,0.20,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2007,2,0.48,0.20,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2007,3,0.48,0.20,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2007,4,0.48,0.20,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2007,5,0.48,0.20,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2007,6,0.46,0.22,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2007,7,0.40,0.17,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2007,8,0.40,0.17,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2007,9,0.40,0.17,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2007,10,0.40,0.17,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2007,11,0.40,0.17,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2007,12,0.40,0.17,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2008,1,0.40,0.17,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2008,2,0.50,0.15,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2008,3,0.50,0.15,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2008,4,0.50,0.15,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2008,5,0.52,0.15,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2008,6,0.52,0.15,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2008,7,0.52,0.15,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2008,8,0.52,0.15,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2008,9,0.52,0.15,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2008,10,0.62,0.15,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2008,11,0.62,0.15,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2008,12,0.62,0.15,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2009,1,0.62,0.15,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2009,2,0.62,0.15,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2009,3,0.62,0.15,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2009,4,0.62,0.15,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2009,5,0.62,0.15,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2009,6,0.62,0.15,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2009,7,0.66,0.21,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2009,8,0.66,0.21,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2009,9,0.66,0.33,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2009,10,0.54,0.20,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2009,11,0.54,0.20,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2009,12,0.54,0.20,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2010,1,0.54,0.20,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2010,2,0.52,0.18,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2010,3,0.52,0.19,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2010,4,0.51,0.18,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2010,5,0.51,0.21,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2010,6,0.51,0.21,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2010,7,0.54,0.25,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2010,8,0.54,0.27,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2010,9,0.54,0.27,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2010,10,0.54,0.27,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2010,11,0.54,0.27,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2010,12,0.54,0.25,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2011,1,0.51,0.21,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2011,2,0.51,0.21,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2011,3,0.51,0.21,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2011,4,0.51,0.21,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2011,5,0.51,0.21,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2011,6,0.51,0.21,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2011,7,0.51,0.21,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2011,8,0.51,0.21,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2011,9,0.54,0.21,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2011,10,0.54,0.21,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2011,11,0.54,0.21,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2011,12,0.57,0.21,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2012,1,0.57,0.21,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2012,2,0.57,0.21,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2012,3,0.57,0.21,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2012,4,0.57,0.21,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2012,5,0.57,0.21,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2012,6,0.57,0.22,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2012,7,0.57,0.22,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2012,8,0.55,0.22,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2012,9,0.55,0.22,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2012,10,0.55,0.22,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2012,11,0.55,0.22,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2012,12,0.54,0.21,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2013,1,0.54,0.21,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2013,2,0.54,0.21,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2013,3,0.54,0.21,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2013,4,0.54,0.21,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2013,5,0.54,0.19,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2013,6,0.54,0.19,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2013,7,0.54,0.19,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2013,8,0.54,0.19,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2013,9,0.54,0.19,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2013,10,0.53,0.19,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2013,11,0.53,0.19,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2013,12,0.53,0.19,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2014,1,0.53,0.19,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2014,2,0.53,0.19,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2014,3,0.53,0.19,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2014,4,0.53,0.19,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2014,5,0.53,0.19,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2014,6,0.53,0.20,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2014,7,0.54,0.21,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2014,8,0.54,0.21,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2014,9,0.54,0.21,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2014,10,0.54,0.21,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2014,11,0.58,0.21,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2014,12,0.58,0.21,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2015,1,0.58,0.21,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2015,2,0.58,0.23,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2015,3,0.58,0.23,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2015,4,0.58,0.23,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2015,5,0.58,0.23,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2015,6,0.58,0.23,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2015,7,0.58,0.23,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2015,8,0.58,0.23,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2015,9,0.55,0.23,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2015,10,0.55,0.23,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2015,11,0.55,0.23,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2015,12,0.55,0.23,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2016,1,0.55,0.23,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2016,2,0.55,0.23,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2016,3,0.53,0.23,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2016,4,0.53,0.23,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2016,5,0.53,0.23,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2016,6,0.53,0.23,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2016,7,0.53,0.23,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2016,8,0.48,0.23,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2016,9,0.48,0.23,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2016,10,0.48,0.23,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2016,11,0.48,0.23,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2016,12,0.48,0.23,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2017,1,0.50,0.25,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2017,2,0.50,0.25,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2017,3,0.50,0.25,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2017,4,0.50,0.25,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2017,5,0.50,0.25,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2017,6,0.50,0.25,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2017,7,0.50,0.26,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2017,8,0.54,0.26,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2017,9,0.54,0.26,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2017,10,0.54,0.26,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2017,11,0.53,0.26,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2017,12,0.53,0.26,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2018,1,0.52,0.26,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2018,2,0.52,0.26,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2018,3,0.52,0.26,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2018,4,0.51,0.26,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2018,5,0.51,0.26,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2018,6,0.51,0.27,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2018,7,0.51,0.27,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2018,8,0.51,0.27,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2018,9,0.51,0.27,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2018,10,0.55,0.31,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2018,11,0.55,0.27,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2018,12,0.55,0.27,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2019,1,0.55,0.28,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2019,2,0.55,0.28,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2019,3,0.55,0.28,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2019,4,0.55,0.28,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2019,5,0.55,0.28,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2019,6,0.55,0.28,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2019,7,0.54,0.27,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2019,8,0.54,0.27,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2019,9,0.54,0.27,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2019,10,0.54,0.27,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2019,11,0.54,0.27,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2019,12,0.54,0.27,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2020,1,0.58,0.27,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2020,2,0.58,0.27,,,,,,,PCE
0227640,Gambell,Alaska Village Electric Cooperative,2020,3,0.61,0.28,,,,,,,PCE
0228200,Gateway,Matanuska Electric Assn Inc,2001,1,0.11,,0.09,,,,0.22,0.10,EIA861M
0228200,Gateway,Matanuska Electric Assn Inc,2001,2,0.11,,0.09,,,,0.22,0.10,EIA861M
0228200,Gateway,Matanuska Electric Assn Inc,2001,3,0.11,,0.09,,,,0.22,0.10,EIA861M
0228200,Gateway,Matanuska Electric Assn Inc,2001,4,0.11,,0.09,,,,0.20,0.10,EIA861M
0228200,Gateway,Matanuska Electric Assn Inc,2001,5,0.12,,0.09,,,,0.22,0.11,EIA861M
0228200,Gateway,Matanuska Electric Assn Inc,2001,6,0.12,,0.09,,,,0.22,0.10,EIA861M
0228200,Gateway,Matanuska Electric Assn Inc,2001,7,0.12,,0.10,,,,0.23,0.11,EIA861M
0228200,Gateway,Matanuska Electric Assn Inc,2001,8,0.12,,0.09,,,,0.22,0.11,EIA861M
0228200,Gateway,Matanuska Electric Assn Inc,2001,9,0.12,,0.10,,,,0.24,0.11,EIA861M
0228200,Gateway,Matanuska Electric Assn Inc,2001,10,0.12,,0.09,,,,0.23,0.11,EIA861M
0228200,Gateway,Matanuska Electric Assn Inc,2001,11,0.11,,0.09,,,,0.21,0.11,EIA861M
0228200,Gateway,Matanuska Electric Assn Inc,2001,12,0.11,,0.09,,,,0.20,0.11,EIA861M
0228200,Gateway,Matanuska Electric Assn Inc,2002,1,0.11,,0.09,,,,0.23,0.10,EIA861M
0228200,Gateway,Matanuska Electric Assn Inc,2002,2,0.11,,0.09,,,,0.23,0.11,EIA861M
0228200,Gateway,Matanuska Electric Assn Inc,2002,3,0.11,,0.09,,,,0.24,0.11,EIA861M
0228200,Gateway,Matanuska Electric Assn Inc,2002,4,0.11,,0.09,,,,0.25,0.11,EIA861M
0228200,Gateway,Matanuska Electric Assn Inc,2002,5,0.12,,0.09,,,,0.22,0.11,EIA861M
0228200,Gateway,Matanuska Electric Assn Inc,2002,6,0.12,,0.10,,,,0.23,0.11,EIA861M
0228200,Gateway,Matanuska Electric Assn Inc,2002,7,0.11,,0.09,,,,0.21,0.10,EIA861M
0228200,Gateway,Matanuska Electric Assn Inc,2002,8,0.11,,0.08,,,,0.22,0.10,EIA861M
0228200,Gateway,Matanuska Electric Assn Inc,2002,9,0.11,,0.09,,,,0.20,0.10,EIA861M
0228200,Gateway,Matanuska Electric Assn Inc,2002,10,0.11,,0.09,,,,0.21,0.10,EIA861M
0228200,Gateway,Matanuska Electric Assn Inc,2002,11,0.11,,0.09,,,,0.19,0.10,EIA861M
0228200,Gateway,Matanuska Electric Assn Inc,2002,12,0.11,,0.08,,,,0.20,0.10,EIA861M
0228200,Gateway,Matanuska Electric Assn Inc,2003,1,0.10,,0.08,,,,0.18,0.09,EIA861M
0228200,Gateway,Matanuska Electric Assn Inc,2003,2,0.10,,0.08,,,,0.21,0.10,EIA861M
0228200,Gateway,Matanuska Electric Assn Inc,2003,3,0.10,,0.08,,,,0.21,0.10,EIA861M
0228200,Gateway,Matanuska Electric Assn Inc,2003,4,0.10,,0.07,,,,0.19,0.09,EIA861M
0228200,Gateway,Matanuska Electric Assn Inc,2003,5,0.10,,0.08,,,,0.19,0.09,EIA861M
0228200,Gateway,Matanuska Electric Assn Inc,2003,6,0.10,,0.08,,,,0.20,0.09,EIA861M
0228200,Gateway,Matanuska Electric Assn Inc,2003,7,0.11,,0.09,,,,0.21,0.10,EIA861M
0228200,Gateway,Matanuska Electric Assn Inc,2003,8,0.11,,0.08,,,,0.21,0.10,EIA861M
0228200,Gateway,Matanuska Electric Assn Inc,2003,9,0.11,,0.08,,,,0.21,0.10,EIA861M
0228200,Gateway,Matanuska Electric Assn Inc,2003,10,0.11,,0.09,,,,0.21,0.10,EIA861M
0228200,Gateway,Matanuska Electric Assn Inc,2003,11,0.11,,0.09,,,,0.22,0.10,EIA861M
0228200,Gateway,Matanuska Electric Assn Inc,2003,12,0.10,,0.08,,,,0.20,0.10,EIA861M
0228200,Gateway,Matanuska Electric Assn Inc,2004,1,0.10,,0.08,,,,,0.09,EIA861M
0228200,Gateway,Matanuska Electric Assn Inc,2004,2,0.10,,0.08,,,,,0.09,EIA861M
0228200,Gateway,Matanuska Electric Assn Inc,2004,3,0.10,,0.08,,,,,0.09,EIA861M
0228200,Gateway,Matanuska Electric Assn Inc,2004,4,0.11,,0.09,,,,,0.10,EIA861M
0228200,Gateway,Matanuska Electric Assn Inc,2004,5,0.11,,0.09,,,,,0.10,EIA861M
0228200,Gateway,Matanuska Electric Assn Inc,2004,6,0.11,,0.08,,,,,0.10,EIA861M
0228200,Gateway,Matanuska Electric Assn Inc,2004,7,0.11,,0.08,,,,,0.10,EIA861M
0228200,Gateway,Matanuska Electric Assn Inc,2004,8,0.11,,0.08,,,,,0.10,EIA861M
0228200,Gateway,Matanuska Electric Assn Inc,2004,9,0.11,,0.09,,,,,0.10,EIA861M
0228200,Gateway,Matanuska Electric Assn Inc,2004,10,0.11,,0.09,,,,,0.10,EIA861M
0228200,Gateway,Matanuska Electric Assn Inc,2004,11,0.11,,0.09,,,,,0.10,EIA861M
0228200,Gateway,Matanuska Electric Assn Inc,2004,12,0.11,,0.09,,,,,0.10,EIA861M
0228200,Gateway,Matanuska Electric Assn Inc,2005,1,0.10,,0.09,,,,,0.10,EIA861M
0228200,Gateway,Matanuska Electric Assn Inc,2005,2,0.11,,0.09,,,,,0.10,EIA861M
0228200,Gateway,Matanuska Electric Assn Inc,2005,3,0.11,,0.09,,,,,0.10,EIA861M
0228200,Gateway,Matanuska Electric Assn Inc,2005,4,0.11,,0.09,,,,,0.10,EIA861M
0228200,Gateway,Matanuska Electric Assn Inc,2005,5,0.12,,0.09,,,,,0.11,EIA861M
0228200,Gateway,Matanuska Electric Assn Inc,2005,6,0.11,,0.09,,,,,0.10,EIA861M
0228200,Gateway,Matanuska Electric Assn Inc,2005,7,0.11,,0.09,,,,,0.10,EIA861M
0228200,Gateway,Matanuska Electric Assn Inc,2005,8,0.11,,0.09,,,,,0.11,EIA861M
